column_name,column_type,description,possible_values
_STATE,DOUBLE,State FIPS Code,{'39': 'Ohio'}
_GEOSTR,DOUBLE,Geographic Stratum Code,{'HIDDEN': 'Data not displayed'}
_DENSTR2,DOUBLE,Household Density Stratum Code,"{'1': 'Listed', '2': 'Unlisted', '9': 'Not Applicable'}"
PRECALL,DOUBLE,Pre-Call Status Code,"{'1': 'To be called', '7': 'To be called', '8': 'No need to dial'}"
SECSCRFL,DOUBLE,Secondary Screening Flags,"{'0': 'Undetermined/', '1': 'No Answer', '2': 'Busy', '5': 'Privacy Manager', '7': 'Residence/Phone', '9': 'Business/Non-', 'BLANK': 'Missing or Not'}"
REPNUM,DOUBLE,Replicate Number,{'HIDDEN': 'Data not displayed'}
REPDEPTH,DOUBLE,Replicate Depth,{'HIDDEN': 'Data not displayed'}
FMONTH,DOUBLE,File Month,"{'1': 'January', '2': 'February', '3': 'March', '4': 'April', '5': 'May', '6': 'June', '7': 'July', '8': 'August', '9': 'September', '10': 'October', '11': 'November', '12': 'December'}"
IDATE,VARCHAR,Interview Date,{'HIDDEN': 'Data not displayed'}
IMONTH,VARCHAR,Interview Month,"{'1': 'January', '2': 'February', '3': 'March', '4': 'April', '5': 'May', '6': 'June', '7': 'July', '8': 'August', '9': 'September', '10': 'October', '11': 'November', '12': 'December'}"
IDAY,VARCHAR,Interview Day,"{'1': 'Interview Day', '2': '479', '3': '395', '4': '461', '5': '645', '6': '606', '7': '648', '8': '525', '9': '424', '10': '401', '11': '416', '12': '401', '13': '364', '14': '359', '15': '342', '16': '254', '17': '441', '18': '436', '19': '330', '20': '323', '21': '333', '22': '608', '23': '510', '24': '531', '25': '485', '26': '625', '27': '445', '28': '430', '29': '409', '30': '314', '31': '228'}"
IYEAR,BIGINT,Interview Year,"{'2019': 'Interview Year', '2020': '25'}"
INTVID,VARCHAR,Interviewer Identification,{'HIDDEN': 'Data not displayed'}
DISPCODE,DOUBLE,Final Disposition,"{'1100': 'Completed', '1200': 'Partial Complete'}"
SEQNO,BIGINT,Annual Sequence Number,{'HIDDEN': 'Data not displayed'}
_PSU,DOUBLE,Primary Sampling Unit (Equal to Annual Sequence Number),{'HIDDEN': 'Data not displayed'}
NATTMPTS,DOUBLE,Number of Attempts,{'HIDDEN': 'Data not displayed'}
NRECSEL,DOUBLE,Number of Sample Records Selected from Stratum,{'HIDDEN': 'Data not displayed'}
NRECSTR,DOUBLE,Number of Telephone Numbers in Stratum from Which Sample Was Selected,{'HIDDEN': 'Data not displayed'}
CTELENM1,DOUBLE,Is this (phone number) ?,"{'1': 'Yes—Go to LL.02,', 'BLANK': 'Missing'}"
PVTRESD1,DOUBLE,"Is this a private residence? [READ ONLY IF NECESSARY: “By private residence, we mean someplace like a house","{'1': 'Yes—Go to LL.04,', 'BLANK': 'Missing'}"
COLGHOUS,VARCHAR,Do you live in college housing?,{'BLANK': 'Missing'}
STATERE1,DOUBLE,Do you currently live in ____(state)____?,"{'1': 'Yes—Go to LL.05,', 'BLANK': 'Not asked or'}"
CELPHONE,DOUBLE,"Is this a cell telephone? (Telephone service over the internet counts as landline service (includes Vonage, Magic Jack and","{'2': 'No—Go to LL.06,', 'BLANK': 'Not asked or'}"
LADULT1,DOUBLE,Are you 18 years of age or older?,"{'1': 'Yes—If LL.03,', 'BLANK': 'Not asked or'}"
COLGSEX,VARCHAR,Are you male or female?,{'BLANK': 'Not asked or'}
NUMADULT,DOUBLE,__ Number of adults,"{'1': 'Number of adults', '2': 'Number of adults', '3': 'Number of adults', '4': 'Number of adults', '5': 'Number of adults', '6': '-', 'BLANK': 'Missing'}"
LANDSEX,DOUBLE,Are you male or female?,"{'1': 'Male—Go to C01.01,', '2': 'Female—Go to', 'BLANK': 'Not asked or'}"
NUMMEN,DOUBLE,How many of these adults are men?,"{'0': 'Number of adult', '1': 'Number of adult', '2': 'Number of adult', '3': 'Number of adult', '4': 'Number of adult', 'BLANK': 'Missing'}"
NUMWOMEN,DOUBLE,"So, the number of women in the household is [NUMADULT – NUMMEN]. Is that","{'0': 'Number of adult', '1': 'Number of adult', '2': 'Number of adult', '3': 'Number of adult', '4': 'Number of adult', '5': 'Number of adult', 'BLANK': 'Missing'}"
RESPSLCT,DOUBLE,The person in your household that I need to speak with is [XXX]. Are you the [XXX] in this household,"{'1': 'Male—Go to Section', '2': 'Female—Go to'}"
SAFETIME,DOUBLE,Is this a safe time to talk with you?,"{'1': 'Yes—Go to CP.02,', 'BLANK': 'Not asked or'}"
CTELNUM1,DOUBLE,Is this (phone number) ?,"{'1': 'Yes—Go to CP.03,', 'BLANK': 'Not asked or'}"
CELLFON5,DOUBLE,Is this a cell phone?,"{'1': 'Yes—Go to CP.04,', 'BLANK': 'Not asked or'}"
CADULT1,DOUBLE,Are you 18 years of age or older?,"{'1': 'Yes—Go to CP.05,', 'BLANK': 'Not asked or'}"
CELLSEX,DOUBLE,Are you male or female?,"{'1': 'Male—Go to CP.06,', '2': 'Female—Go to', 'BLANK': 'Not asked or'}"
PVTRESD3,DOUBLE,"Do you live in a private residence? (By private residence, we mean someplace like a house or apartment.)","{'1': 'Yes—Go to CP.08,', '2': 'No—Go to CP.07', 'BLANK': 'Not asked or'}"
CCLGHOUS,DOUBLE,Do you live in college housing?,"{'1': 'Yes—Go to CP.08,', 'BLANK': 'Missing'}"
CSTATE1,DOUBLE,Do you currently live in ____(state)____?,"{'1': 'Yes—Go to CP.10,', '2': 'No—Go to CP.09,', 'BLANK': 'Not asked or'}"
RSPSTAT1,DOUBLE,In what state do you currently live?,"{'39': 'Ohio', 'BLANK': 'Not asked or'}"
LANDLINE,DOUBLE,Do you also have a landline telephone in your home that is used to make and receive,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
HHADULT,DOUBLE,"How many members of your household, including yourself, are 18 years of age or older?","{'1': '-', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
SEXVAR,DOUBLE,Sex of Respondent,"{'1': 'Male—Code=1 if', '2': 'Female—Code=2 if'}"
GENHLTH,DOUBLE,Would you say that in general your health is—,"{'2': 'Very good', '3': 'Good', '4': 'Fair', '5': 'Poor', '7': 'Don’t know/Not', '9': 'Refused'}"
PHYSHLTH,DOUBLE,"Now thinking about your physical health, which includes physical illness and injury, for","{'1': '-', '88': 'None', '77': 'Don’t know/Not', '99': 'Refused'}"
MENTHLTH,DOUBLE,"Now thinking about your mental health, which includes stress, depression, and problems","{'1': '-', '88': 'None', '77': 'Don’t know/Not', '99': 'Refused'}"
POORHLTH,DOUBLE,"During the past 30 days, for about how many days did poor physical or mental health","{'1': '-', '88': 'None', '77': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
HLTHPLN1,DOUBLE,"Do you have any kind of health care coverage, including health insurance, prepaid plans","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
PERSDOC2,DOUBLE,Do you have one person you think of as your personal doctor or health care provider? (If ´No´ ask ´Is there more,"{'1': 'Yes, only one', '2': 'More than one', '3': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
MEDCOST,DOUBLE,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
CHECKUP1,DOUBLE,About how long has it been since you last visited a doctor for a routine checkup?,"{'1': 'Within past year', '2': 'Within past', '3': 'Within past', '4': '5 or more years', '7': 'Don’t know/Not', '8': 'Never', '9': 'Refused'}"
BPHIGH4,DOUBLE,"Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure? (If ´Yes","{'1': 'Yes', '2': 'Yes, but female', '3': 'No—Go to Section', '4': 'Told borderline', '7': 'Don´t know/Not', '9': 'Refused—Go to'}"
BPMEDS,DOUBLE,Are you currently taking prescription medicine for your high blood,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CHOLCHK2,DOUBLE,About how long has it been since you last had your blood cholesterol checked?,"{'1': 'Never—Go to', '2': 'Within the past', '3': 'Within the past', '4': 'Within the past', '5': 'Within the past', '6': 'Within the past', '7': 'Don’t know/Not', '8': '5 or more years', '9': 'Refused—Go to'}"
TOLDHI2,DOUBLE,"Have you EVER been told by a doctor, nurse or other health professional that your blood","{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to', 'BLANK': 'Not asked or'}"
CHOLMED2,DOUBLE,Are you currently taking medicine prescribed by your doctor or other health professional for your blood cholesterol?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CVDINFR4,DOUBLE,(Ever told) you that you had a heart attack also called a myocardial infarction?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
CVDCRHD4,DOUBLE,(Ever told) you had angina or coronary heart disease?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
CVDSTRK3,DOUBLE,(Ever told) you had a stroke?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
ASTHMA3,DOUBLE,(Ever told) you had asthma?,"{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to'}"
ASTHNOW,DOUBLE,Do you still have asthma?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
CHCSCNCR,DOUBLE,(Ever told) you had skin cancer?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know / Not', '9': 'Refused'}"
CHCOCNCR,DOUBLE,(Ever told) you had any other types of cancer?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know / Not', '9': 'Refused'}"
CHCCOPD2,DOUBLE,"(Ever told) (you had) chronic obstructive pulmonary disease, C.O.P.D., emphysema or chronic bronchitis?","{'1': 'Yes', '2': 'No', '7': 'Don’t know / Not', '9': 'Refused'}"
ADDEPEV3,DOUBLE,"(Ever told) (you had) a depressive disorder (including depression, major depression, dysthymia, or minor depression)?","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused'}"
CHCKDNY2,DOUBLE,"Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?","{'1': 'Yes', '7': 'Don’t know / Not', '9': 'Refused'}"
DIABETE4,DOUBLE,"(Ever told) (you had) diabetes? (If ´Yes´ and respondent is female, ask ´Was this only when you were pregnant?´.","{'1': 'Yes', '2': 'Yes, but female', '3': 'No—Go to Section', '4': 'No, pre-diabetes', '7': 'Don’t know/Not', '9': 'Refused—Go to'}"
DIABAGE3,DOUBLE,How old were you when you were told you had diabetes?,"{'1': '-', '98': 'Don’t know/Not', '99': 'Refused', 'BLANK': 'Not asked or'}"
HAVARTH4,DOUBLE,"(Ever told) (you had) some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia? (Arthritis diagnoses include:","{'1': 'Yes', '2': 'No—Go to Section', '7': 'Don’t know/Not', '9': 'Refused—Go to'}"
ARTHEXER,DOUBLE,Has a doctor or other health professional ever suggested physical activity or exercise,"{'1': 'Yes', '2': 'No', '7': 'Don´t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ARTHEDU,DOUBLE,Have you EVER taken an educational course or class to teach you how to manage,"{'1': 'Yes', '2': 'No', '7': 'Don´t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
LMTJOIN3,DOUBLE,Are you now limited in any way in any of your usual activities because of arthritis or joint symptoms?,"{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Not asked or'}"
ARTHDIS2,DOUBLE,"In this next question, we are referring to work for pay. Do arthritis or joint symptoms now","{'1': 'Yes', '2': 'No', '7': 'Don’t know/Not', '9': 'Refused', 'BLANK': 'Missing'}"
