column_name,description
ACEADSAF,"For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met? Would you say never
ACEDEPRS,"Did you live with anyone who was depressed
ACEDIVRC,Were your parents separated or divorced?
ACEDRINK,Did you live with anyone who was a problem drinker or alcoholic?
ACEDRUGS,Did you live with anyone who used illegal street drugs or who abused prescription medications?
ACEHURT1,"Not including spanking
ACEPRISN,"Did you live with anyone who served time or was sentenced to serve time in a prison
ACEPUNCH,"How often did your parents or adults in your home ever slap
ACESWEAR,"How often did a parent or adult in your home ever swear at you
ACETOUCH,"How often did anyone at least 5 years older than you or an adult
ACTIN11_,Estimated Activity Intensity for Second Activity
ADDEPEV3,"(Ever told) (you had) a depressive disorder (including depression
ADHISPA,Adult Hispanic response
ADLTCHLD,Which person in the household was selected as the focus of the asthma call-back?
ADSLEEP,"Over the last 2 weeks
AGE,What is your age?
ALCDAY5,"During the past 30 days
ARTHDIS2,"In this next question
ARTHEDU,Have you ever taken an educational course or class to teach you how to manage problems related to your
ARTHEXER,Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint
ARTHSOCL,"During the past 30 days
ARTHWGT,Has a doctor or other health professional EVER suggested losing weight to help your arthritis or joint symptoms?
ARTTODAY,"Thinking about your arthritis or joint symptoms
ASACTLIM,"During the past 12 months
ASATTACK,"During the past 12 months
ASBIADVC,Were you offered advice about what level of drinking is harmful or risky for your health?
ASBIALCH,You told me earlier that your last routine checkup was [within the past year/within the past 2 years]. At that
ASBIBING,Did the healthcare provider specifically ask whether you drank [5 FOR MEN /4 FOR WOMEN] or more alcoholic
ASBIDRNK,Did the health care provider ask you in person or on a form how much you drink?
ASBIRDUC,"At your last routine checkup
ASERVIST,"During the past 12 months
ASINHALR,"During the past 30 days
ASNOSLEP,"During the past 30 days
ASPIRIN,"How often do you take an aspirin to prevent or control heart disease
ASPUNSAF,Do you have a health problem or condition that makes taking aspirin unsafe for you?
ASTHMA3,(Ever told) (you had) asthma?
ASTHMAGE,"How old were you when you were first told by a doctor
ASTHNOW,Do you still have asthma?
ASYMPTOM,"Symptoms of asthma include cough
ATS_1,About how old were you the first time you smoked part or all of a cigarette?
ATS_10,"During the past 12 months
ATS_14,"Have you used any of the following to help you quit using tobacco: Nicotine replacement products (gum
ATS_2,About how old were you when you first started smoking cigarettes fairly regularly?
ATS_20,Have you used any of the following to help you quit using tobacco: A mobile app or texting program?
ATS_21,"During the past 30 days
ATS_22,Which statement best describes the rules about smoking inside your home? Do not
ATS_23,"Do you think that breathing vapor from other people's e-cigarettes is: Very harmful to one's health
ATS_25,"How much do you favor or oppose banning the sale of all tobacco products
ATS_27,How much do you favor or oppose banning the sale of menthol cigarettes?
ATS_28,"Tobacco use of any kind should not be allowed in outdoor public spaces. Do you Strongly Agree
ATS_29,"In July 2019
ATS_3,"On average
ATS_30,"E‐cigarettes and other electronic vaping products should be treated the same as regular cigarettes in terms of tobacco laws and policies. Do you Strongly Agree
ATS_31,"Stores that sell tobacco products should not be allowed near schools. Do you Strongly Agree
ATS_32,How likely would you be to ask a stranger to not smoke or vape around you?
ATS_33,How likely would you be to ask a friend or family member to not smoke or vape around you?
ATS_34,Do you believe you have a right to breathe clean air in public places?
ATS_35,Would you support a policy that prohibits smoking and vaping in multi-unit housing complexes?
ATS_36,Would you favor or oppose a tax increase on tobacco products?
ATS_4,About how old were you the first time you used any tobacco product for the first time?
ATS_4a,"On the days that you smoke
ATS_4c,Which of the following brands do you smoke most often?
ATS_5,"In the past 30 days
ATS_6,Do you have a prescription for medical marijuana?
ATS_7,Where do you obtain the marijuana you use within e‐ cigarette or vapor products?
ATS_8,Where do you obtain the CBD oil you use within e‐ cigarette or vapor products?
AVEDRNK3,"One drink is equivalent to a 12-ounce beer
BCPREFER,"If you could use any birth control method you wanted
BIRTHSEX,What was your sex at birth? Was it male or female?
BLDSTFIT,Was the blood stool or FIT (you reported earlier) conducted as part of a Cologuard test?
BLDSTOL1,Have you ever had this test using a home kit?
BLDSTOOL,A blood stool test is a test that may use a special kit at home to determine whether the
BLDSUGAR,About how often do you check your blood for glucose or sugar? [Include times when checked by a family
BLIND,"Are you blind or do you have serious difficulty seeing
BPALCADV,(Ever advised you to) reduce alcohol use (to help lower or control your high blood
BPALCHOL,(Are you) reducing alcohol use (to help lower or control your high blood pressure)?
BPEATADV,(Ever advised you to) change your eating habits (to help lower or control your high blood
BPEATHBT,(Are you) changing your eating habits (to help lower or control your high blood pressure)?
BPEXER,(Are you) exercising (to help lower or control your high blood pressure)?
BPEXRADV,(Ever advised you to) exercise (to help lower or control your high blood pressure)?
BPHI2MR,Were you told on two or more different visits by a doctor or other health professional
BPHIGH6,"Have you ever been told by a doctor
BPMEDADV,(Ever advised you to) take medication (to help lower or control your high blood
BPMEDS,Are you currently taking prescription medicine for your high blood
BPSALT,(Are you) cutting down on salt (to help lower or control your high blood pressure)?
BPSLTADV,(Ever advised you to) cut down on salt (to help lower or control your high blood
BRTHCNT4,"The last time you had sexual intercourse
CAGEG,Four level child age
CALLBACK,"[INTERVIEWER
CALLBCKZ,We would like to call you again to talk in more detail about your experiences with Zika. The information will be used to help
CALRINFO,"When calorie information is available in the restaurant
CAREGIV1,"During the past 30 days
CARERCVD,"In general
CASTHDX2,"Has a doctor
CASTHNO2,Does the child still have asthma?
CATI_RN,Description not found
CDASSIST,"As a result of confusion or memory loss
CDDISCU1,Have you or anyone else discussed your difficulties with thinking or memory with a health care provider?
CDDISCUS,Have you or anyone else discussed your confusion or memory loss with a health care professional?
CDHELP,"When you need help with these day-to-day activities
CDHOUS1,"During the past 12 months
CDHOUSE,"During the past 12 months
CDSOCIAL,"During the past 12 months
CDWORRY,Are you worried about these difficulties with thinking or memory?
CELLFON4,"Is this a cell telephone? (Telephone service over the internet counts as landline service (includes Vonage
CELLFON5,Is this a cell telephone?
CERVSCRN,Have you ever had a cervical
CHCCOPD1,"(Ever told) you have Chronic Obstructive Pulmonary Disease or COPD
CHCCOPD2,"(Ever told) (you had) chronic obstructive pulmonary disease
CHCCOPD3,"(Ever told) (you had) C.O.P.D. (chronic obstructive pulmonary disease)
CHCKDNY2,"Not including kidney stones
CHCKIDNY,"(Ever told) you have kidney disease? (Do NOT include kidney stones
CHCOCNC1,(Ever told) (you had) melanoma or any other types of cancer?
CHCOCNCR,(Ever told) (you had) any other types of cancer?
CHCSCNC1,(Ever told) (you had) skin cancer that is not melanoma?
CHCSCNCR,(Ever told) (you had) skin cancer?
CHECKUP1,"A routine checkup is a general physical exam
CHHISPA,Child Hispanic response
CHILDAGE,Child Age (in months)
CHILDREN,How many children less than 18 years of
CHKHEMO3,"A test for ""A one C"" measures the average level of blood sugar over the past three"
CHOLCHK1,Blood cholesterol is a fatty substance found in the blood. About how long has it been since you last had your
CHOLCHK2,About how long has it been since you last had your blood cholesterol checked?
CHOLCHK3,About how long has it been since you last had your cholesterol checked?
CHOLMED3,Are you currently taking medicine prescribed by your doctor or other health professional for your blood cholesterol?
CIMEMLO1,"During the past 12 months
CIMEMLOS,"During the past 12 months
CNCRAGE,"At what age were you told that you had cancer? (If Response = 2 (Two) or 3 (Three or more)
CNCRDIFF,How many different types of cancer have you had?
CNCRTYP1,"What type of cancer was it? (If Response = 2 (Two) or 3 (Three or more)
CNCRTYP2,What kind of cancer is it?
COLGHOUS,Do you live in college housing?
COLGSEX,Are you male or female?
COLNCNCR,"Have you ever had any other kind of test for colorectal cancer
COLNSCPY,Have you ever had a colonoscopy?
COLNSIGM,"Have you had a colonoscopy
COLNTES1,How long has it been since your most recent sigmoidoscopy?
COPDBRTH,Do you have shortness of breath either when hurrying on level ground or when walking up a slight hill or stairs?
COPDBTST,Have you ever been given a breathing test to diagnose breathing problems?
COPDCOGH,"During the past 3 months
COPDFLEM,"During the past 3 months
COPDSMOK,"Over your lifetime
COVACGE1,"Would you say you will definitely get a vaccine
COVIDACT,Do these long-term symptoms reduce your ability to carry out day-to-day activities compared with the time
COVIDFS1,During what month and year did you receive your (first) COVID-19 vaccination?
COVIDNU2,How many COVID-19 vaccinations have you received?
COVIDPO1,"Have you ever tested positive for COVID-19 (using a rapid point-of-care test
COVIDPRM,Which of the following was the primary symptom that you experienced? Was it….
COVIDSM1,Do you currently have symptoms lasting 3 months or longer that you did not have prior to having coronavirus or
COVIDSMP,Did you have any symptoms lasting 3 months or longer that you did not have prior to having coronavirus or COVID-19?
COVIDVA1,Have you received at least one dose of a COVID-19 vaccination?
CPCOUNTY,Cell Phone County Name
CPDEMO1,Do you have a cell phone for personal use? Please include cell phones used for both
CPDEMO1A,"Including phones for business and personal use
CPDEMO1B,How many cell phones do you have for your personal use? (Last question needed for partial complete.)
CRACASC1,CRACORG1 with responses in ascending order
CRACORG1,"RCSRACE1 with 77
CRGVALZD,"Does the person you care for also have Alzheimer´s disease
CRGVEXPT,"In the next 2 years
CRGVHOUS,"…Managing household tasks such as cleaning
CRGVHRS1,"In an average week
CRGVLNG1,For how long have you provided care for that person? Would you say…
CRGVMST2,"Of the following support services
CRGVMST3,"Of the following support services
CRGVPER1,"In the past 30 days
CRGVPERS,"…Managing personal care such as giving medications
CRGVPRB3,"What is the main health problem
CRGVREL4,What is his or her relationship to you?
CRVCLCNC,How long has it been since you had your last cervical cancer screening test?
CRVCLPAP,"At your most recent cervical cancer screening
CSRVCLIN,Did you participate in a clinical trial as part of your cancer treatment?
CSRVCTL1,Is your pain currently under control?
CSRVCTL2,Would you say your pain is currently under control…?
CSRVDEIN,Were you ever denied health insurance or life insurance coverage because of your cancer?
CSRVDOC1,What type of doctor provides the majority of your health care? Is it a….
CSRVINSR,"With your most recent diagnosis of cancer
CSRVINST,Were these instructions written down or printed on paper for you?
CSRVPAIN,Do you currently have physical pain caused by your cancer or cancer treatment?
CSRVRTRN,"Have you ever received instructions from a doctor
CSRVSUM,"Did any doctor
CSRVTRT2,"Are you currently receiving treatment for cancer? [By treatment
CSRVTRT3,Are you currently receiving treatment for cancer?
CSTATE1,Do you currently live in ____(state)____?
CTELENM1,Is this (phone number) ?
CTYCODE1,What county do you live in?
CTYCODE2,In what county do you currently live?
CVDASPRN,is asked of all respondents.
CVDCRHD4,(Ever told) (you had) angina or coronary heart disease?
CVDINFR4,(Ever told) you that you had a heart attack also called a myocardial infarction?
CVDSTRK3,(Ever told) (you had) a stroke.
DEAF,Are you deaf or do you have serious difficulty hearing?
DECIDE,"Because of a physical
DELAYME1,"Other than cost
DELAYMED,Have you delayed getting needed medical care for any of the following reasons in the past 12 months? Select the
DIABAGE3,How old were you when you were told you have diabetes?
DIABEDU,Have you ever taken a course or class in how to manage your diabetes yourself?
DIABEDU1,When was the last time you took a course or class in how to manage your diabetes yourself?
DIABETE3,(Ever told) (you had) diabetes?
DIABETE4,"(Ever told) (you had) diabetes? (If ´Yes´ and respondent is female
DIABEYE,Has a doctor ever told you that diabetes has affected your eyes or that you had retinopathy?
DIABEYE1,"When was the last time a doctor
DIABTYPE,"According to your doctor or other health professional
DIFFDRES,Do you have difficulty dressing or bathing?
DIFFWALK,Do you have serious difficulty walking or climbing stairs?
DISPCODE,Final Disposition
DLYOTHER,Delayed Getting Medical Care Other Response
DOCTDIAB,"About how many times in the past 12 months have you seen a doctor
DRADVISE,Has a doctor or other health professional ever advised you to reduce sodium or salt intake?
DRNK3GE5,"Considering all types of alcoholic beverages
